access_id,timestamp_utc,path,operation,years_whose_market_rows_parsed,row_scope,result
PA-001,2026-07-24T00:00:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2021.zip,sha256_and_archive_member_listing,none,none,"mixed-year member name revealed; no market row parsed by this operation"
PA-002,2026-07-24T00:00:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2023.zip,sha256_and_archive_member_listing,none,none,"mixed-year member name revealed; no market row parsed by this operation"
PA-003,2026-07-24T00:00:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,sha256_archive_listing_and_metadata,none,none,"metadata identifies NQ.FUT"
PA-004,2026-07-24T00:00:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2021.zip,stream_header_and_first_five_rows,2021,5,"symbols identify NQ outright/contract data"
PA-005,2026-07-24T00:00:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2023.zip,stream_header_and_first_row,2023,1,"symbol identifies NQ calendar spread"
PA-006,2026-07-24T00:00:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,stream_header_and_first_row,2025,1,"symbol identifies NQ outright data"
PA-007,2026-07-24T00:00:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,guarded_ingestion_test,2025,1,"rejected first NQ row before constructing any Bar"
PA-008,2026-07-24T10:35:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2025.zip,bounded_outight_contract_preview,2025,"2025-01-01T00:00:00Z through 2025-01-11T00:00:00Z; 11586 outright rows","confirmed NQH5/NQM5/NQU5 availability for deterministic session selection"
PA-009,2026-07-24T10:50:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2021.zip,sha256_member_metadata_and_permitted_section_integrity_scan,2021,"507113 permitted rows; 2021-01-03T23:00:00Z through 2021-12-31T21:59:00Z","NQ.FUT parent extract; 454877 outright rows and 52236 spread rows; no 2022 fields parsed"
PA-010,2026-07-24T10:50:00Z,/Users/mariusvidziunas/Downloads/quant-data-upload/NQ/nq2023.zip,sha256_member_metadata_and_permitted_section_integrity_scan,2023,"507299 permitted rows; 2023-01-02T23:00:00Z through 2023-12-29T21:59:00Z","NQ.FUT parent extract; 456312 outright rows and 50987 spread rows; no 2024 fields parsed"
