anchor,arm,censored,censored_pct,eligible_events,left_envelope,mean_minutes_inside,median_minutes_inside,p25_minutes,p75_minutes,p90_minutes,population,session,underpowered
ALL_ANCHORS,C01_NEUTRAL,1,0.66,151,150,31.5,7,2,25,87,NONPOC,ALL_SESSIONS,false
ALL_ANCHORS,C01_NEUTRAL,0,0,35,35,103,66,34,114,243,NONPOC,ETH_EVENING,false
ALL_ANCHORS,C01_NEUTRAL,0,0,8,8,22.2,22,0,34,41,NONPOC,ETH_OVERNIGHT,true
ALL_ANCHORS,C01_NEUTRAL,1,16.67,6,5,4.4,4,4,4,4,NONPOC,RTH_AFTERNOON,true
ALL_ANCHORS,C01_NEUTRAL,0,0,8,8,26.1,27,6,27,58,NONPOC,RTH_MIDDAY,true
ALL_ANCHORS,C01_NEUTRAL,0,0,41,41,12.9,7,3,13,22,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C01_NEUTRAL,0,0,53,53,3.5,2,1,5,8,NONPOC,RTH_OPEN,false
R01,C01_NEUTRAL,0,0,43,43,88,58,19,110,193,NONPOC,ALL_SESSIONS,false
R01,C01_NEUTRAL,0,0,35,35,103,66,34,114,243,NONPOC,ETH_EVENING,false
R01,C01_NEUTRAL,0,0,8,8,22.2,22,0,34,41,NONPOC,ETH_OVERNIGHT,true
R02,C01_NEUTRAL,1,3.45,29,28,13.8,6,3,8,13,NONPOC,ALL_SESSIONS,true
R02,C01_NEUTRAL,1,50,2,1,4,4,4,4,4,NONPOC,RTH_AFTERNOON,true
R02,C01_NEUTRAL,0,0,4,4,20.5,10,4,10,10,NONPOC,RTH_MIDDAY,true
R02,C01_NEUTRAL,0,0,6,6,35.7,11,3,11,20,NONPOC,RTH_MORNING,true
R02,C01_NEUTRAL,0,0,17,17,5.1,5,3,7,8,NONPOC,RTH_OPEN,true
R03,C01_NEUTRAL,0,0,43,43,4.4,2,1,5,8,NONPOC,ALL_SESSIONS,false
R03,C01_NEUTRAL,0,0,2,2,2,4,0,0,0,NONPOC,RTH_AFTERNOON,true
R03,C01_NEUTRAL,0,0,1,1,27,27,27,27,27,NONPOC,RTH_MIDDAY,true
R03,C01_NEUTRAL,0,0,8,8,7.8,4,0,5,21,NONPOC,RTH_MORNING,true
R03,C01_NEUTRAL,0,0,32,32,3,1,1,4,6,NONPOC,RTH_OPEN,false
R04,C01_NEUTRAL,0,0,7,7,2.3,2,0,2,4,NONPOC,ALL_SESSIONS,true
R04,C01_NEUTRAL,0,0,1,1,4,4,4,4,4,NONPOC,RTH_AFTERNOON,true
R04,C01_NEUTRAL,0,0,2,2,4.5,7,2,2,2,NONPOC,RTH_MORNING,true
R04,C01_NEUTRAL,0,0,4,4,0.8,1,0,1,1,NONPOC,RTH_OPEN,true
R05,C01_NEUTRAL,0,0,29,29,12.1,9,4,15,27,NONPOC,ALL_SESSIONS,true
R05,C01_NEUTRAL,0,0,1,1,10,10,10,10,10,NONPOC,RTH_AFTERNOON,true
R05,C01_NEUTRAL,0,0,3,3,33.3,27,15,27,27,NONPOC,RTH_MIDDAY,true
R05,C01_NEUTRAL,0,0,25,25,9.7,9,3,13,21,NONPOC,RTH_MORNING,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,117,117,30,8,2,26,82,NONPOC,ALL_SESSIONS,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,23,23,103.8,75,36,120,135,NONPOC,ETH_EVENING,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,14,14,28.3,18,1,29,56,NONPOC,ETH_OVERNIGHT,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,5,5,4.4,3,3,4,4,NONPOC,RTH_AFTERNOON,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,6,6,15.2,9,2,9,28,NONPOC,RTH_MIDDAY,true
